fecha;valor
2013-01-01;22.837,06
2013-01-02;22.833,37
2013-01-03;22.829,68
2013-01-04;22.825,99
2013-01-05;22.822,30
2013-01-06;22.818,61
2013-01-07;22.814,92
2013-01-08;22.811,23
2013-01-09;22.807,54
2013-01-10;22.807,54
2013-01-11;22.807,54
2013-01-12;22.807,54
2013-01-13;22.807,54
2013-01-14;22.807,54
2013-01-15;22.807,54
2013-01-16;22.807,54
2013-01-17;22.807,54
2013-01-18;22.807,54
2013-01-19;22.807,54
2013-01-20;22.807,54
2013-01-21;22.807,54
2013-01-22;22.807,54
2013-01-23;22.807,54
2013-01-24;22.807,54
2013-01-25;22.807,54
2013-01-26;22.807,54
2013-01-27;22.807,54
2013-01-28;22.807,54
2013-01-29;22.807,54
2013-01-30;22.807,54
2013-01-31;22.807,54
2013-02-01;22.807,54
2013-02-02;22.807,54
2013-02-03;22.807,54
2013-02-04;22.807,54
2013-02-05;22.807,54
2013-02-06;22.807,54
2013-02-07;22.807,54
2013-02-08;22.807,54
2013-02-09;22.807,54
2013-02-10;22.809,17
2013-02-11;22.810,80
2013-02-12;22.812,42
2013-02-13;22.814,05
2013-02-14;22.815,68
2013-02-15;22.817,31
2013-02-16;22.818,94
2013-02-17;22.820,56
2013-02-18;22.822,19
2013-02-19;22.823,82
2013-02-20;22.825,45
2013-02-21;22.827,08
2013-02-22;22.828,71
2013-02-23;22.830,34
2013-02-24;22.831,97
2013-02-25;22.833,59
2013-02-26;22.835,22
2013-02-27;22.836,85
2013-02-28;22.838,48
2013-03-01;22.840,11
2013-03-02;22.841,74
2013-03-03;22.843,37
2013-03-04;22.845,00
2013-03-05;22.846,63
2013-03-06;22.848,26
2013-03-07;22.849,89
2013-03-08;22.851,52
2013-03-09;22.853,16
2013-03-10;22.853,90
2013-03-11;22.854,63
2013-03-12;22.855,37
2013-03-13;22.856,11
2013-03-14;22.856,84
2013-03-15;22.857,58
2013-03-16;22.858,32
2013-03-17;22.859,06
2013-03-18;22.859,79
2013-03-19;22.860,53
2013-03-20;22.861,27
2013-03-21;22.862,00
2013-03-22;22.862,74
2013-03-23;22.863,48
2013-03-24;22.864,22
2013-03-25;22.864,95
2013-03-26;22.865,69
2013-03-27;22.866,43
2013-03-28;22.867,16
2013-03-29;22.867,90
2013-03-30;22.868,64
2013-03-31;22.869,38
2013-04-01;22.870,11
2013-04-02;22.870,85
2013-04-03;22.871,59
2013-04-04;22.872,33
2013-04-05;22.873,06
2013-04-06;22.873,80
2013-04-07;22.874,54
2013-04-08;22.875,28
2013-04-09;22.876,01
2013-04-10;22.879,05
2013-04-11;22.882,10
2013-04-12;22.885,14
2013-04-13;22.888,19
2013-04-14;22.891,24
2013-04-15;22.894,28
2013-04-16;22.897,33
2013-04-17;22.900,38
2013-04-18;22.903,42
2013-04-19;22.906,47
2013-04-20;22.909,52
2013-04-21;22.912,57
2013-04-22;22.915,62
2013-04-23;22.918,67
2013-04-24;22.921,72
2013-04-25;22.924,77
2013-04-26;22.927,82
2013-04-27;22.930,87
2013-04-28;22.933,92
2013-04-29;22.936,97
2013-04-30;22.940,02
2013-05-01;22.943,08
2013-05-02;22.946,13
2013-05-03;22.949,18
2013-05-04;22.952,24
2013-05-05;22.955,29
2013-05-06;22.958,35
2013-05-07;22.961,40
2013-05-08;22.964,46
2013-05-09;22.967,51
2013-05-10;22.963,80
2013-05-11;22.960,08
2013-05-12;22.956,37
2013-05-13;22.952,66
2013-05-14;22.948,95
2013-05-15;22.945,24
2013-05-16;22.941,53
2013-05-17;22.937,82
2013-05-18;22.934,11
2013-05-19;22.930,40
2013-05-20;22.926,70
2013-05-21;22.922,99
2013-05-22;22.919,28
2013-05-23;22.915,58
2013-05-24;22.911,87
2013-05-25;22.908,17
2013-05-26;22.904,46
2013-05-27;22.900,76
2013-05-28;22.897,06
2013-05-29;22.893,36
2013-05-30;22.889,65
